canonical_id,woo_product_id,woo_parent_product_id,woo_variation_id,sku,slug,name,entity_type,category,brand,status,approval_status,release_state,customer_purchasable,catalog_visibility,stock_status,price_usd,currency,billing_model,short_summary,description,benefits,audience,customer_goals,eligibility_rules,exclusions,fulfillment_type,fulfillment_platform,canonical_url,checkout_url,booking_url,payment_plan_available,payment_plan_amount,payment_plan_url,payment_processor,coupon_relationship,wix_plan_id,wordpress_page_id,source_authority,source_ids,source_updated_at,snapshot_generated_at,catalog_version,record_checksum
wnb:community:lounge-elite,1049,,,WNB-MBR-ELITE,lounge-elite,Wake'n'Bake Lounge Elite,COMMUNITY_MEMBERSHIP,"[""Membership"", ""Community""]",Wake'n'Bake Lounge,DRAFT,OWNER_APPROVED,APPROVED_NOT_RELEASED,False,hidden,not_applicable,24.99,USD,RECURRING_MONTHLY,"Wake'n'Bake Lounge Elite ($24.99/mo) with 25% discount, VIP badge, and curated content.","The premium Wake'n'Bake Lounge membership tier for $24.99/month. Enjoy 25% off all Lounge Collection products, first access to exclusive drops, VIP forum badge, priority event invitations, and monthly curated content from Budly T. Cannaguide.","[""Community access"", ""25% off all Lounge Collection products"", ""First access to exclusive drops"", ""VIP forum badge"", ""Priority event invitations"", ""Monthly curated content from Budly T. Cannaguide""]","[""Dedicated cannabis aficionados"", ""VIP community members""]","[""Maximize savings with 25% Lounge Collection discount"", ""First access to limited drops"", ""Exclusive curated guidance from Budly""]","[""Active monthly subscription""]","[""Discounts apply only to Lounge Collection products""]",MEMBERSHIP_ACCESS,WIX_PLANS,https://wakenbakelounge.com/plans-pricing,,,False,,,TBD_APPROVED_PROCESSOR,LOUNGEELITE25,ac8a8d86-961d-417e-84a3-47cd6537db9f,1052,owner_approved_specification,"{""woo_parent_product_id"": null, ""woo_variation_id"": null, ""wix_entity"": ""PaidPlans/Plans/ac8a8d86-961d-417e-84a3-47cd6537db9f""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,883a9c8c9821f648e05a62cded7dda6b1982e9bf083279afc057b363e4595025
wnb:nft:azurea-skye,212,212,,WNB-NFT-212,azurea-skye,Azurea Skye - NFT Membership,NFT_MEMBERSHIP_PARENT,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/azurea-skye/,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/azurea-skye/,woocommerce,"{""woo_parent_product_id"": 212, ""woo_variation_id"": null, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,c5848430c21694c635bfabfc2bc4d83ffd1c2b147249260a4976249dc4803161
wnb:nft:azurea-skye:bronze,212,212,277,WNB-NFT-212-BRO,azurea-skye,Azurea Skye - NFT Membership (Bronze),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,5000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/azurea-skye/?attribute_membership-tier=Bronze,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/azurea-skye/,woocommerce,"{""woo_parent_product_id"": 212, ""woo_variation_id"": 277, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,a163046f16289696d73c39b3777fe1d4baec31ce89bc0b30d5f8c1dc178e302f
wnb:nft:azurea-skye:copper,212,212,278,WNB-NFT-212-COP,azurea-skye,Azurea Skye - NFT Membership (Copper),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,10000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/azurea-skye/?attribute_membership-tier=Copper,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/azurea-skye/,woocommerce,"{""woo_parent_product_id"": 212, ""woo_variation_id"": 278, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,56718d942aa62da79a9b6addb5f97aefb803d9ce2e8c36c13ec4c049723daf30
wnb:nft:azurea-skye:titanium,212,212,279,WNB-NFT-212-TIT,azurea-skye,Azurea Skye - NFT Membership (Titanium),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,20000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/azurea-skye/?attribute_membership-tier=Titanium,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/azurea-skye/,woocommerce,"{""woo_parent_product_id"": 212, ""woo_variation_id"": 279, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,c1fdf9501f20c00e2015c31baeaeb9ba088169b57edfd108145950f86fcd8791
wnb:nft:azurea-skye:platinum,212,212,280,WNB-NFT-212-PLA,azurea-skye,Azurea Skye - NFT Membership (Platinum),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,40000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/azurea-skye/?attribute_membership-tier=Platinum,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/azurea-skye/,woocommerce,"{""woo_parent_product_id"": 212, ""woo_variation_id"": 280, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,01731dae8ba2269447f7c14fb5e2edf23d9d4ce2fb370c75555b46c8a54a103d
wnb:nft:cookie-cutter,214,214,,WNB-NFT-214,cookie-cutter,Cookie Cutter - NFT Membership,NFT_MEMBERSHIP_PARENT,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/cookie-cutter/,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/cookie-cutter/,woocommerce,"{""woo_parent_product_id"": 214, ""woo_variation_id"": null, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,9316e1eff2b48dcc34db7d85e452fdea62bc025587e491deeb641d294a31ea4e
wnb:nft:cookie-cutter:bronze,214,214,281,WNB-NFT-214-BRO,cookie-cutter,Cookie Cutter - NFT Membership (Bronze),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,5000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/cookie-cutter/?attribute_membership-tier=Bronze,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/cookie-cutter/,woocommerce,"{""woo_parent_product_id"": 214, ""woo_variation_id"": 281, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,571cbdfd25d86460dae36d01a71227f8d62d11f5ca1e3341a428cc57a692d699
wnb:nft:cookie-cutter:copper,214,214,282,WNB-NFT-214-COP,cookie-cutter,Cookie Cutter - NFT Membership (Copper),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,10000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/cookie-cutter/?attribute_membership-tier=Copper,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/cookie-cutter/,woocommerce,"{""woo_parent_product_id"": 214, ""woo_variation_id"": 282, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,1416e657538a3f5c50efcf53a0b61d68eff44f565536c25ed3b8e9d58120a2d3
wnb:nft:cookie-cutter:titanium,214,214,283,WNB-NFT-214-TIT,cookie-cutter,Cookie Cutter - NFT Membership (Titanium),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,20000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/cookie-cutter/?attribute_membership-tier=Titanium,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/cookie-cutter/,woocommerce,"{""woo_parent_product_id"": 214, ""woo_variation_id"": 283, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,3008287914d3d66ad47642f6ef392decf2aa198dea624242ebacf153cd6bd7a9
wnb:nft:cookie-cutter:platinum,214,214,284,WNB-NFT-214-PLA,cookie-cutter,Cookie Cutter - NFT Membership (Platinum),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,40000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/cookie-cutter/?attribute_membership-tier=Platinum,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/cookie-cutter/,woocommerce,"{""woo_parent_product_id"": 214, ""woo_variation_id"": 284, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,acb59e8b1c6d20eb4a4df713dc5317b64d38eb5d21a3dd42c6d617ad8c77574b
wnb:nft:dizel,216,216,,WNB-NFT-216,dizel,Dizel - NFT Membership,NFT_MEMBERSHIP_PARENT,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/dizel/,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/dizel/,woocommerce,"{""woo_parent_product_id"": 216, ""woo_variation_id"": null, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,6666ba197bbdc3e7e147abdaf044226b6ba1f4fe175156248bc6659b4d646d50
wnb:nft:dizel:bronze,216,216,285,WNB-NFT-216-BRO,dizel,Dizel - NFT Membership (Bronze),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,5000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/dizel/?attribute_membership-tiers=Bronze,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/dizel/,woocommerce,"{""woo_parent_product_id"": 216, ""woo_variation_id"": 285, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,4e8ce51637050b9ed30cc7d0aebccf0eb0301d3506b643c911b79e74a49ec03c
wnb:nft:dizel:copper,216,216,286,WNB-NFT-216-COP,dizel,Dizel - NFT Membership (Copper),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,10000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/dizel/?attribute_membership-tiers=Copper,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/dizel/,woocommerce,"{""woo_parent_product_id"": 216, ""woo_variation_id"": 286, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,5fd65763d489d9f1a35364117d49e1059824cebc0287bc4fb6ac6f9798244bd7
wnb:nft:dizel:titanium,216,216,287,WNB-NFT-216-TIT,dizel,Dizel - NFT Membership (Titanium),NFT_MEMBERSHIP_TIER,"[""General""]",Compassionate Care Cultivators,ACTIVE,OWNER_APPROVED,RELEASED,True,visible,instock,20000.0,USD,ONE_TIME,,,[],[],[],[],[],DIGITAL_DELIVERY,WOOCOMMERCE,https://cccultivate.com/product/dizel/?attribute_membership-tiers=Titanium,,,False,,,WOOCOMMERCE,,,https://cccultivate.com/product/dizel/,woocommerce,"{""woo_parent_product_id"": 216, ""woo_variation_id"": 287, ""wix_entity"": ""Legends/Hub""}",2026-09-14T21:00:42.679598+00:00,2026-09-14T21:00:42.679598+00:00,1.20260914.1705,b19f57a2514dab271b0b1d2d00c8af507e04845acba806907c248c9c7b350ea7
